image_name,angular_z,linear_x
image_2024-04-10_13:29:50_734993.jpeg,0.0,0.3645
image_2024-04-10_13:29:50_869660.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:51_000906.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_134526.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_269461.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_400518.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_535099.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_669993.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_802011.jpeg,0.0,0.3645
image_2024-04-10_13:29:51_934945.jpeg,0.0,0.3645
image_2024-04-10_13:29:52_069553.jpeg,0.0,0.3645
image_2024-04-10_13:29:52_200490.jpeg,0.0,0.3645
image_2024-04-10_13:29:52_333802.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:52_469744.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:52_599854.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:52_736566.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:52_870272.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:52_999421.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_133803.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_270362.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_402726.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_536154.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_669901.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_800268.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:53_937694.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:54_069638.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:54_203189.jpeg,0.0,0.3645
image_2024-04-10_13:29:54_334475.jpeg,0.0,0.3645
image_2024-04-10_13:29:54_470093.jpeg,0.0,0.3645
image_2024-04-10_13:29:54_602542.jpeg,0.0,0.3645
image_2024-04-10_13:29:54_734734.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:54_871713.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_003909.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_137357.jpeg,0.0,0.3645
image_2024-04-10_13:29:55_268913.jpeg,0.0,0.3645
image_2024-04-10_13:29:55_403014.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_538418.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_671233.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_802263.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:55_938259.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_069320.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_202949.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_337680.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_473298.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_601582.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_736127.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:56_871284.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_001524.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_135379.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:29:57_271647.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_402639.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_538271.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_672678.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_803573.jpeg,0.0,0.3645
image_2024-04-10_13:29:57_935609.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_073468.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_203641.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_335648.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_472251.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_605131.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_737366.jpeg,0.0,0.3645
image_2024-04-10_13:29:58_874406.jpeg,0.0,0.3645
image_2024-04-10_13:29:59_001312.jpeg,0.0,0.3645
image_2024-04-10_13:29:59_138679.jpeg,0.0,0.3645
image_2024-04-10_13:29:59_269914.jpeg,0.0,0.3645
image_2024-04-10_13:29:59_403443.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:59_538389.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:59_681750.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:59_805319.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:29:59_938227.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_070539.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_204825.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_336297.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_471436.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_601884.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_739712.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:00_871822.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:01_002288.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_137927.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_272961.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_402763.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_539047.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_670505.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_806421.jpeg,0.0,0.3645
image_2024-04-10_13:30:01_938941.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_072642.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_204771.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_339304.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_470626.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_604400.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_737748.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:02_872932.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:03_006283.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:03_136984.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:03_272606.jpeg,0.0,0.3645
image_2024-04-10_13:30:03_403602.jpeg,0.0,0.3645
image_2024-04-10_13:30:03_539199.jpeg,0.0,0.3645
image_2024-04-10_13:30:03_672931.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:03_805836.jpeg,0.0,0.3645
image_2024-04-10_13:30:03_939565.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_073772.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_205521.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_339289.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_471121.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_603354.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_737412.jpeg,0.0,0.3645
image_2024-04-10_13:30:04_871785.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_004151.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_139834.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_274069.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:05_403959.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_537951.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_671705.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_805751.jpeg,0.0,0.3645
image_2024-04-10_13:30:05_940077.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_075120.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_204972.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_340573.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_474652.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_606930.jpeg,0.0,0.3645
image_2024-04-10_13:30:06_739415.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:06_874288.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_005348.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_142388.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_273960.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_406505.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_538340.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_673271.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_804467.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:07_938804.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_073042.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_205030.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_339187.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_475841.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_606483.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_740541.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:08_876045.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:09_008009.jpeg,0.0,0.3645
image_2024-04-10_13:30:09_140835.jpeg,0.0,0.3645
image_2024-04-10_13:30:09_274017.jpeg,0.0,0.3645
image_2024-04-10_13:30:09_406792.jpeg,0.0,0.3645
image_2024-04-10_13:30:09_541269.jpeg,0.0,0.3645
image_2024-04-10_13:30:09_675313.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:09_808543.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:09_941566.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:10_075334.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:10_208144.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:30:10_350027.jpeg,0.0,0.3645
image_2024-04-10_13:30:10_477495.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:10_610051.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:10_742547.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:10_877745.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:11_008206.jpeg,0.0,0.3645
image_2024-04-10_13:30:11_139976.jpeg,0.0,0.3645
image_2024-04-10_13:30:11_277863.jpeg,0.0,0.3645
image_2024-04-10_13:30:11_406194.jpeg,0.0,0.3645
image_2024-04-10_13:30:11_542498.jpeg,0.0,0.3645
image_2024-04-10_13:30:11_673772.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:11_806440.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:11_942470.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_074432.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_207646.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_341751.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_477441.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_610270.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_740159.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:12_874196.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_009276.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_141992.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_275645.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_405640.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_543908.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:30:13_673828.jpeg,0.0,0.3645
image_2024-04-10_13:30:13_808388.jpeg,0.0,0.3645
image_2024-04-10_13:30:13_941312.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_077136.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_208796.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_340997.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_473970.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_612045.jpeg,0.0,0.3645
image_2024-04-10_13:30:14_745931.jpeg,0.0,0.3645
