image_name,angular_z,linear_x
image_2024-04-10_13:47:35_471106.jpeg,0.0,0.3645
image_2024-04-10_13:47:35_602577.jpeg,0.0,0.3645
image_2024-04-10_13:47:35_734389.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:35_870725.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_005561.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_135524.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_270487.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_405787.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_536194.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:36_670812.jpeg,0.0,0.3645
image_2024-04-10_13:47:36_937513.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:37_070470.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:37_205497.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:37_335133.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:37_469887.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_13:47:37_604951.jpeg,0.0,0.3645
image_2024-04-10_13:47:37_871923.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_138627.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_271637.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_404330.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_538353.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_670756.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_804123.jpeg,0.0,0.3645
image_2024-04-10_13:47:38_938097.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_072480.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_206608.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_335847.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_472220.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_606228.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_739448.jpeg,0.0,0.3645
image_2024-04-10_13:47:39_870244.jpeg,0.0,0.3645
image_2024-04-10_13:47:40_004442.jpeg,0.0,0.3645
image_2024-04-10_13:47:40_138766.jpeg,0.0,0.3645
image_2024-04-10_13:47:40_271652.jpeg,0.0,0.3645
image_2024-04-10_13:47:40_539174.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:40_670250.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:40_807606.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:40_938943.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_071221.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_204772.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_340279.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_471543.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_607718.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_738054.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:41_872061.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_005746.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_136723.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:42_273027.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_408028.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_539960.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_673848.jpeg,1.2100000000000002,0.3645
image_2024-04-10_13:47:42_807501.jpeg,0.0,0.3645
image_2024-04-10_13:47:42_947515.jpeg,0.0,0.3645
