image_name,angular_z,linear_x
image_2024-04-10_16:16:44_410927.jpeg,0.0,0.3645
image_2024-04-10_16:16:44_546647.jpeg,0.0,0.3645
image_2024-04-10_16:16:44_680915.jpeg,0.0,0.3645
image_2024-04-10_16:16:44_946850.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_16:16:45_080563.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_16:16:45_213192.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_16:16:45_344962.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_16:16:45_481154.jpeg,0.0,0.3645
image_2024-04-10_16:16:45_612930.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:45_745296.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:45_879608.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:46_013289.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:46_145109.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:46_281821.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:46_411366.jpeg,0.0,0.3645
image_2024-04-10_16:16:46_544919.jpeg,0.0,0.3645
image_2024-04-10_16:16:46_682057.jpeg,0.0,0.3645
image_2024-04-10_16:16:46_812046.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:46_945508.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:47_082402.jpeg,0.0,0.3645
image_2024-04-10_16:16:47_211758.jpeg,0.0,0.3645
image_2024-04-10_16:16:47_353647.jpeg,0.0,0.3645
image_2024-04-10_16:16:47_617957.jpeg,0.0,0.3645
image_2024-04-10_16:16:47_746643.jpeg,0.0,0.3645
image_2024-04-10_16:16:47_882234.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_012837.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:48_148186.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_281688.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_413413.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_546729.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_680673.jpeg,0.0,0.3645
image_2024-04-10_16:16:48_945829.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:49_081337.jpeg,0.0,0.3645
image_2024-04-10_16:16:49_212855.jpeg,0.0,0.3645
image_2024-04-10_16:16:49_345923.jpeg,0.0,0.3645
image_2024-04-10_16:16:49_482330.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:49_613066.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:49_746111.jpeg,0.0,0.3645
image_2024-04-10_16:16:49_881175.jpeg,0.0,0.3645
image_2024-04-10_16:16:50_014766.jpeg,0.0,0.3645
image_2024-04-10_16:16:50_147873.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:50_281163.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:50_413112.jpeg,0.0,0.3645
image_2024-04-10_16:16:50_548708.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:50_681368.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:50_813836.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:50_948362.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:51_080752.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_216524.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_349429.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_483532.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_613874.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_750385.jpeg,0.0,0.3645
image_2024-04-10_16:16:51_882666.jpeg,0.0,0.3645
image_2024-04-10_16:16:52_013222.jpeg,0.0,0.3645
image_2024-04-10_16:16:52_150084.jpeg,-1.2100000000000002,0.3645
image_2024-04-10_16:16:52_281385.jpeg,0.0,0.3645
image_2024-04-10_16:16:52_548983.jpeg,0.0,0.3645
image_2024-04-10_16:16:52_681550.jpeg,0.0,0.3645
image_2024-04-10_16:16:52_816189.jpeg,1.2100000000000002,0.3645
image_2024-04-10_16:16:52_950098.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_083915.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_214960.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_347568.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_483490.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_615694.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_746905.jpeg,0.0,0.3645
image_2024-04-10_16:16:53_882114.jpeg,0.0,0.3645
image_2024-04-10_16:16:54_014061.jpeg,0.0,0.3645
image_2024-04-10_16:16:54_148059.jpeg,0.0,0.3645
image_2024-04-10_16:16:54_281765.jpeg,0.0,0.3645
